,JobCode,deptcount,srhrs,midhrs,jrhrs,Psrhrs,Pmidhrs,PjrHrs,officecount,ptodays,pjduration,additionalassignments,teamsize,projtags,overbudget
371,10859260,1,14.5,169.5,73.0,0.05642023346303502,0.6595330739299611,0.2840466926070039,1,92,128,288,12,7,1
372,10859793,2,6.0,542.5,151.0,0.008577555396711936,0.775553967119371,0.21586847748391708,1,143,122,354,21,8,0
373,10859892,6,4.5,10.0,33.75,0.09326424870466321,0.20725388601036268,0.6994818652849741,1,11,50,101,13,6,0
374,10860619,3,26.0,2.0,0.0,0.9285714285714286,0.07142857142857142,0.0,2,0,22,25,4,16,0
375,10861417,2,2.0,0.0,2.0,0.5,0.0,0.5,2,9,49,9,3,4,0
376,10860748,6,158.75,337.5,387.0,0.1797339371638834,0.3821115199547127,0.43815454288140393,1,207,228,729,27,10,1
377,10861704,6,196.0,573.5,11.75,0.25088,0.73408,0.01504,1,113,159,205,14,6,0
378,10862283,7,202.75,135.5,299.0,0.31816398587681444,0.21263240486465282,0.46920360925853277,2,41,25,59,18,5,1
379,10862640,3,0.0,5.0,62.5,0.0,0.07407407407407407,0.9259259259259259,1,17,56,73,6,4,0
380,10862491,5,149.5,82.5,8.5,0.6216216216216216,0.34303534303534305,0.035343035343035345,3,12,18,23,10,6,1
381,10863144,7,114.75,10.5,99.0,0.5117056856187291,0.046822742474916385,0.4414715719063545,3,38,58,87,11,10,1
382,10862739,4,64.0,0.0,0.0,1.0,0.0,0.0,1,4,354,89,5,4,0
383,10862950,6,71.0,77.75,99.0,0.2865792129162462,0.313824419778002,0.39959636730575177,1,39,68,238,14,4,0
384,10863259,7,800.0,1230.75,0.0,0.3939431244614059,0.6060568755385941,0.0,2,275,153,159,19,6,1
